ip,port
102.164.252.150,8080
103.117.192.14,80
103.127.1.130,80
103.160.204.104,80
103.168.52.187,8000
103.168.52.187,8080
103.168.52.187,8123
103.197.251.202,80
103.49.202.252,80
103.83.232.122,80
104.16.103.237,80
104.16.104.168,80
104.16.104.197,80
104.16.104.234,80
104.16.104.244,80
104.16.105.152,80
104.16.105.214,80
104.16.105.237,80
104.16.105.243,80
104.16.105.70,80
104.16.106.115,80
104.16.106.139,80
104.16.106.233,80
104.16.106.85,80
104.16.107.177,80
104.16.107.195,80
104.16.107.247,80
104.16.107.251,80
104.16.107.90,80
104.16.108.188,80
104.16.108.200,80
104.16.108.205,80
104.16.109.151,80
104.16.109.194,80
104.16.109.234,80
104.16.115.108,80
104.16.132.62,80
104.16.148.217,80
104.16.15.244,80
104.16.173.81,80
104.16.175.242,80
104.16.183.125,80
104.16.186.217,80
104.16.2.116,80
104.16.202.90,80
104.16.208.91,80
104.16.212.199,80
104.16.214.232,80
104.16.224.233,80
104.16.226.195,80
104.16.227.177,80
104.16.232.196,80
104.16.34.154,80
104.16.35.149,80
104.16.37.183,80
104.16.43.142,80
104.16.5.44,80
104.16.52.33,80
104.16.55.157,80
104.16.58.239,80
104.16.6.120,80
104.16.76.21,80
104.16.79.214,80
104.16.82.229,80
104.16.89.169,80
104.16.91.199,80
104.17.109.114,80
104.17.110.189,80
104.17.122.210,80
104.17.131.77,80
104.17.137.58,80
104.17.152.106,80
104.17.169.209,80
104.17.169.2,80
104.17.172.188,80
104.17.195.86,80
104.17.197.199,80
104.17.221.75,80
104.17.228.176,80
104.17.239.157,80
104.17.27.233,80
104.17.28.151,80
104.17.45.2,80
104.17.51.201,80
104.17.64.162,80
104.17.64.3,80
104.17.79.219,80
104.17.91.98,80
104.18.1.235,80
104.18.101.33,80
104.18.105.193,80
104.18.115.41,80
104.18.124.198,80
104.18.134.214,80
104.18.14.111,80
104.18.149.22,80
104.18.150.151,80
104.18.162.194,80
104.18.187.49,80
104.18.197.183,80
104.18.207.139,80
104.18.21.18,80
104.18.210.205,80
104.18.220.110,80
104.18.231.192,80
104.18.232.144,80
104.18.236.29,80
104.18.237.195,80
104.18.37.165,80
104.18.70.243,80
104.18.71.28,80
104.18.72.251,80
104.18.74.192,80
104.18.74.50,80
104.19.122.111,80
104.19.138.179,80
104.19.177.92,80
104.19.182.205,80
104.19.185.229,80
104.19.20.65,80
104.19.201.69,80
104.19.235.10,80
104.19.24.145,80
104.19.252.204,80
104.19.31.34,80
104.19.92.107,80
104.19.92.207,80
104.20.0.67,80
104.20.107.1,80
104.20.112.78,80
104.20.118.157,80
104.20.132.96,80
104.20.145.49,80
104.20.17.227,80
104.20.175.209,80
104.20.181.229,80
104.20.186.161,80
104.20.203.43,80
104.20.217.7,80
104.20.222.240,80
104.20.223.4,80
104.20.227.246,80
104.20.23.165,80
104.20.240.15,80
104.20.242.70,80
104.20.247.24,80
104.20.251.116,80
104.20.251.80,80
104.20.31.113,80
104.20.35.193,80
104.20.37.49,80
104.20.68.176,80
104.20.95.27,80
104.21.106.221,80
104.21.118.9,80
104.21.121.125,80
104.21.19.187,80
104.21.204.181,80
104.21.206.179,80
104.21.226.144,80
104.21.38.201,80
104.21.40.246,80
104.21.6.223,80
104.21.61.24,80
104.21.68.195,80
104.21.76.221,80
104.21.79.185,80
104.21.83.86,80
104.21.85.43,80
104.21.91.195,80
104.21.93.189,80
104.21.96.239,80
104.22.14.61,80
104.22.16.174,80
104.22.2.242,80
104.22.24.11,80
104.22.24.167,80
104.22.25.234,80
104.22.27.194,80
104.22.33.190,80
104.22.35.117,80
104.22.50.153,80
104.22.52.126,80
104.22.63.115,80
104.22.64.177,80
104.22.72.76,80
104.22.9.49,80
104.23.110.144,80
104.23.111.102,80
104.23.113.242,80
104.23.134.150,80
104.24.11.30,80
104.24.142.118,80
104.24.157.33,80
104.24.165.212,80
104.24.171.34,80
104.24.179.171,80
104.24.190.146,80
104.24.199.111,80
104.24.203.114,80
